NAME,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Duplicate Assert,Eager Test,Empty Test,Exception Handling,General Fixture,Ignored Test,Lazy Test,Magic Number Test,Mystery Guest,Print Statement/ Redundant Print,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,Unknown Test,Verbose Test
Assertion Roulette,-,"0,12","0,00","0,14","0,49","0,00","0,13","0,00","0,02","0,00","0,31","0,03","0,00","0,01","0,03","0,08","0,01","0,00","0,16"
Conditional Test Logic,"0,58",-,"0,00","0,15","0,52","0,00","0,23","0,00","0,05","0,00","0,33","0,06","0,02","0,01","0,05","0,06","0,04","0,11","0,36"
Constructor Initialization,"0,00","0,00",-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Duplicate Assert,"0,84","0,18","0,00",-,"0,56","0,00","0,24","0,00","0,03","0,00","0,46","0,04","0,00","0,01","0,04","0,08","0,02","0,01","0,44"
Eager Test,"0,75","0,16","0,00","0,14",-,"0,00","0,14","0,00","0,02","0,00","0,28","0,03","0,01","0,01","0,03","0,08","0,02","0,06","0,17"
Empty Test,"0,00","0,00","0,00","0,00","0,00",-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Exception Handling,"0,65","0,24","0,00","0,20","0,46","0,00",-,"0,00","0,02","0,00","0,29","0,07","0,01","0,02","0,07","0,09","0,04","0,04","0,32"
General Fixture,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,"0,00","0,00","0,00","0,04","0,00","0,00","0,04","0,00","0,00","0,00","0,00"
Ignored Test,"0,64","0,39","0,00","0,16","0,45","0,00","0,18","0,00",-,"0,00","0,25","0,05","0,04","0,00","0,04","0,04","0,01","0,36","0,27"
Lazy Test,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Magic Number Test,"0,89","0,19","0,00","0,21","0,52","0,00","0,16","0,00","0,02","0,00",-,"0,04","0,01","0,01","0,03","0,06","0,02","0,00","0,27"
Mystery Guest,"0,68","0,26","0,00","0,15","0,45","0,00","0,30","0,04","0,03","0,00","0,28",-,"0,00","0,01","0,83","0,04","0,03","0,07","0,28"
Print Statement/ Redundant Print,"0,72","0,51","0,00","0,12","0,56","0,00","0,27","0,00","0,16","0,00","0,36","0,03",-,"0,06","0,03","0,08","0,06","0,13","0,53"
Redundant Assertion,"0,81","0,12","0,00","0,16","0,57","0,00","0,31","0,00","0,00","0,00","0,22","0,03","0,03",-,"0,03","0,02","0,00","0,00","0,18"
Resource Optimism,"0,65","0,27","0,00","0,15","0,46","0,00","0,32","0,04","0,03","0,00","0,27","0,98","0,01","0,01",-,"0,04","0,03","0,08","0,29"
Sensitive Equality,"0,81","0,11","0,00","0,13","0,52","0,00","0,17","0,00","0,01","0,00","0,19","0,02","0,01","0,00","0,02",-,"0,00","0,01","0,14"
Sleepy Test,"0,71","0,53","0,00","0,24","0,72","0,00","0,53","0,00","0,02","0,00","0,47","0,09","0,03","0,00","0,08","0,03",-,"0,10","0,53"
Unknown Test,"0,03","0,12","0,00","0,01","0,19","0,00","0,04","0,00","0,05","0,00","0,01","0,02","0,00","0,00","0,02","0,00","0,01",-,"0,07"
Verbose Test,"0,79","0,37","0,00","0,36","0,54","0,00","0,31","0,00","0,04","0,00","0,48","0,07","0,02","0,01","0,06","0,07","0,04","0,07",-